value,top_prompts_pos,top_prompts_neg
creative_design,output_modality_visual_image (+0.65); functional_archetype_creator (+0.45); data_flow_direction_outbound (+0.39); domain_knowledge_depth_moderate (+0.27); execution_dataset_single_user_prompt (+0.27); tone_and_persona_casual_friendly (+0.24),data_flow_direction_processing (-0.33); output_modality_messages (-0.27); functional_archetype_organizer (-0.22); execution_dataset_collection_scoped (-0.21); tone_and_persona_professional_formal (-0.18); domain_knowledge_depth_light (-0.18)
education_academic,use_case_context_personal_use_case (+0.64); tone_and_persona_empathetic_supportive (+0.33); functional_archetype_creator (+0.27); execution_dataset_single_asset_from_user (+0.23); domain_knowledge_depth_moderate (+0.18); output_modality_structured_document (+0.15),use_case_context_general_productivity (-0.23); tone_and_persona_professional_formal (-0.18); use_case_context_specific_use_case (-0.18); domain_knowledge_depth_light (-0.14); data_flow_direction_processing (-0.13); execution_dataset_collection_scoped (-0.12)
finance_accounting,functional_archetype_analyzer (+0.14); use_case_context_specific_use_case (+0.13); domain_knowledge_depth_deep (+0.13); tone_and_persona_professional_formal (+0.07); execution_dataset_collection_scoped (+0.05),use_case_context_general_productivity (-0.13); functional_archetype_creator (-0.09); domain_knowledge_depth_light (-0.08); tone_and_persona_casual_friendly (-0.06); output_modality_visual_image (-0.06); domain_knowledge_depth_none (-0.06)
general_cross_functional,external_integration_scope_web_research_integration (+0.12); functional_archetype_communicator (+0.11); functional_archetype_analyzer (+0.10); domain_knowledge_depth_none (+0.08); output_modality_email_external_message (+0.08); use_case_context_specific_use_case (+0.07),external_integration_scope_clickup_only (-0.11); domain_knowledge_depth_light (-0.08); data_flow_direction_processing (-0.06); functional_archetype_organizer (-0.06); execution_dataset_collection_scoped (-0.06); output_modality_visual_image (-0.06)
hr_people,use_case_context_specific_use_case (+0.09); domain_knowledge_depth_deep (+0.05),use_case_context_general_productivity (-0.09)
it_engineering,tone_and_persona_technical_precise (+0.23); domain_knowledge_depth_moderate (+0.09); output_modality_unknown (+0.05),domain_knowledge_depth_light (-0.07); domain_knowledge_depth_none (-0.06); tone_and_persona_professional_formal (-0.05)
legal_compliance,domain_knowledge_depth_deep (+0.32); use_case_context_specific_use_case (+0.14); tone_and_persona_professional_formal (+0.10); functional_archetype_enforcer (+0.07); output_modality_structured_document (+0.06),use_case_context_general_productivity (-0.11); tone_and_persona_casual_friendly (-0.09); domain_knowledge_depth_light (-0.09); domain_knowledge_depth_moderate (-0.06)
marketing_content,use_case_context_specific_use_case (+0.30); domain_knowledge_depth_moderate (+0.29); functional_archetype_creator (+0.22); data_flow_direction_outbound (+0.20); external_integration_scope_web_research_integration (+0.14); execution_dataset_single_user_prompt (+0.11),use_case_context_general_productivity (-0.23); domain_knowledge_depth_light (-0.21); data_flow_direction_processing (-0.18); use_case_context_personal_use_case (-0.13); domain_knowledge_depth_none (-0.12); functional_archetype_organizer (-0.11)
personal_productivity,use_case_context_personal_productivity (+0.38); external_integration_scope_calendar_integration (+0.19); domain_knowledge_depth_none (+0.16); tone_and_persona_empathetic_supportive (+0.16); external_integration_scope_multiple_external_systems (+0.14); functional_archetype_organizer (+0.13),use_case_context_specific_use_case (-0.19); functional_archetype_creator (-0.14); tone_and_persona_professional_formal (-0.13); domain_knowledge_depth_moderate (-0.12); external_integration_scope_clickup_only (-0.09); output_modality_visual_image (-0.08)
project_management_ops,use_case_context_general_productivity (+0.51); domain_knowledge_depth_light (+0.50); data_flow_direction_processing (+0.45); functional_archetype_monitor (+0.31); tone_and_persona_professional_formal (+0.25); functional_archetype_organizer (+0.25),domain_knowledge_depth_moderate (-0.54); functional_archetype_creator (-0.50); data_flow_direction_outbound (-0.46); execution_dataset_single_user_prompt (-0.30); use_case_context_personal_use_case (-0.27); output_modality_visual_image (-0.27)
sales_crm,use_case_context_specific_use_case (+0.21); data_flow_direction_bidirectional (+0.08); functional_archetype_organizer (+0.08); execution_dataset_collection_scoped (+0.07); tone_and_persona_professional_formal (+0.07); external_integration_scope_email_integration (+0.06),use_case_context_general_productivity (-0.15); functional_archetype_creator (-0.12); data_flow_direction_outbound (-0.07); output_modality_visual_image (-0.07); use_case_context_personal_use_case (-0.07); external_integration_scope_clickup_only (-0.06)
unknown,domain_knowledge_depth_unknown (+0.77); functional_archetype_unknown (+0.50); data_flow_direction_unknown (+0.41); use_case_context_unknown (+0.41); operational_scope_unknown (+0.40); implied_end_date_unknown (+0.34),team_orientation_individual (-0.08); implied_end_date_false (-0.07)
